,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,Mahébourg,-20.4081,57.7,77.25,60,75,6.91,MU,1666265708
119,Thai Binh,20.45,106.3333,63.68,91,99,13.62,VN,1666265708
120,Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,56.19,39,100,5.82,CN,1666265708
121,Torbay,47.6666,-52.7314,57.27,95,100,23.02,CA,1666265708
122,Sovetskiy,61.3614,63.5842,35.46,70,89,7.2,RU,1666265510
123,Barrow,71.2906,-156.7887,28.42,86,100,23.02,US,1666265708
124,Alihe,50.5667,123.7167,41.41,49,100,2.17,CN,1666265708
125,Olafsvik,64.8945,-23.7142,43.81,81,91,17.2,IS,1666265708
126,Palana,59.1167,159.9667,26.38,70,100,11.41,RU,1666265708
127,Seoul,37.5683,126.9778,56.64,72,0,2.3,KR,1666265709
128,Takoradze,4.8845,-1.7554,81.75,76,60,8.99,GH,1666265709
129,Bethel,41.3712,-73.414,44.56,83,0,4.61,US,1666265709
130,Nuuk,64.1835,-51.7216,25.41,74,40,17.27,GL,1666265709
131,Laguna,38.421,-121.4238,69.94,66,0,3.44,US,1666265709
132,Henties Bay,-22.116,14.2845,63.95,76,35,11.9,NA,1666265709
133,Lüderitz,-26.6481,15.1594,73.81,56,53,28.95,NA,1666265710
134,São Filipe,14.8961,-24.4956,78.17,82,42,4.38,CV,1666265710
135,Airai,-8.9266,125.4092,64.54,94,100,0.87,TL,1666265710
136,Wahiawā,21.5028,-158.0236,68.32,88,100,8.05,US,1666265710
137,Hermanus,-34.4187,19.2345,68.81,61,48,9.82,ZA,1666265710
138,Kyra,49.5776,111.9753,35.47,99,100,2.28,RU,1666265711
139,Espinosa,-14.9261,-42.8192,81.66,41,3,11.52,BR,1666265711
140,Tual,-5.6667,132.75,84.6,72,77,7.76,ID,1666265711
141,Ancud,-41.8697,-73.8203,45.23,83,100,9.73,CL,1666265711
142,Grindavik,63.8424,-22.4338,41.47,93,75,12.66,IS,1666265711
143,Kota Tinggi,1.7381,103.8999,89.64,89,100,3.04,MY,1666265711
144,Vilhena,-12.7406,-60.1458,73.62,88,0,5.75,BR,1666265711
145,Provideniya,64.3833,-173.3,34.0,99,100,5.88,RU,1666265711
146,Aden,12.7794,45.0367,84.45,62,1,11.65,YE,1666265711
147,Kailua,21.4022,-157.7394,71.58,94,98,13.78,US,1666265711
148,Kavieng,-2.5744,150.7967,82.89,75,84,11.68,PG,1666265712
149,Reconquista,-29.15,-59.65,64.94,89,99,11.43,AR,1666265712
150,Westport,41.1415,-73.3579,46.81,76,0,11.5,US,1666265712
151,Las Cruces,32.3123,-106.7783,58.19,73,0,4.61,US,1666265712
152,Broome,42.2506,-75.833,39.88,75,0,11.5,US,1666265712
153,Ginda,30.6945,78.4932,50.22,88,54,7.49,IN,1666265712
154,Salalah,17.0151,54.0924,87.89,42,0,12.66,OM,1666265547
155,Faanui,-16.4833,-151.75,78.55,71,8,10.65,PF,1666265712
156,Porosozero,62.7191,32.727,38.79,74,97,6.15,RU,1666265712
157,Sisophon,13.5859,102.9737,78.19,75,54,4.99,KH,1666265713
158,Khovd,48.0056,91.6419,37.44,34,97,4.72,MN,1666265713
159,East London,-33.0153,27.9116,72.54,64,16,28.77,ZA,1666265503
160,Ilulissat,69.2167,-51.1,24.82,80,40,9.22,GL,1666265713
161,Mwinilunga,-11.7358,24.4293,92.32,16,98,6.15,ZM,1666265713
162,Berlevåg,70.8578,29.0864,37.35,56,40,42.57,NO,1666265713
163,Buenavista,8.9769,125.4089,78.3,91,100,3.53,PH,1666265713
164,Castro,-24.7911,-50.0119,60.62,95,100,3.49,BR,1666265713
165,Mubi,10.2676,13.2644,91.33,27,92,5.88,NG,1666265713
166,Ābdānān,32.9926,47.4198,83.61,12,100,7.09,IR,1666265713
167,Atuona,-9.8,-139.0333,75.49,81,23,15.41,PF,1666265714
168,Noblesville,40.0456,-86.0086,32.85,65,47,9.93,US,1666265714
169,Klaksvík,62.2266,-6.589,45.52,76,95,22.82,FO,1666265428
170,Le Pradet,43.1066,6.0172,73.99,73,0,12.66,FR,1666265714
171,Charyshskoye,51.3978,83.5598,42.4,75,96,12.97,RU,1666265714
172,Avarua,-21.2078,-159.775,71.65,83,20,3.44,CK,1666265628
173,Souillac,-20.5167,57.5167,75.58,60,75,6.91,MU,1666265714
174,Karratha,-20.7377,116.8463,77.9,70,0,13.94,AU,1666265714
175,Iquique,-20.2208,-70.1431,59.04,65,49,4.81,CL,1666265715
176,Baker City,44.7749,-117.8344,48.76,39,0,3.33,US,1666265715
177,Leningradskiy,69.3833,178.4167,32.07,93,100,18.03,RU,1666265715
178,Staden,50.9504,3.0183,64.74,59,87,3.0,BE,1666265715
179,Aksha,50.2814,113.2867,36.34,99,100,2.68,RU,1666265715
180,Tucumã,-0.1833,-50.05,85.39,63,47,9.1,BR,1666265715
181,Departamento de Maldonado,-34.6667,-54.9167,61.99,80,100,10.2,UY,1666265715
182,Palauig,15.435,119.9045,78.26,90,100,3.78,PH,1666265716
183,Tshikapa,-6.4167,20.8,90.72,44,89,3.53,CD,1666265716
184,Brownsville,25.9018,-97.4975,53.55,82,0,3.44,US,1666265716
185,Hervey Bay,-25.2986,152.8535,72.01,90,82,10.0,AU,1666265716
186,Chokurdakh,70.6333,147.9167,10.27,92,100,15.99,RU,1666265716
187,Tuktoyaktuk,69.4541,-133.0374,24.33,93,100,5.84,CA,1666265593
188,Licata,37.1071,13.9461,80.24,57,0,6.22,IT,1666265716
189,Jérémie,18.65,-74.1167,79.63,79,34,2.42,HT,1666265716
190,Magway,20.15,94.9167,81.43,69,18,6.29,MM,1666265717
191,Minbu,20.1833,94.8833,81.64,68,16,6.35,MM,1666265717
192,Coyhaique,-45.5752,-72.0662,46.35,57,75,0.0,CL,1666265717
193,Hithadhoo,-0.6,73.0833,81.81,73,97,9.44,MV,1666265717
194,Yashkul',46.1711,45.3435,59.97,60,82,11.21,RU,1666265717
195,Hasaki,35.7333,140.8333,55.29,47,0,3.96,JP,1666265717
196,Mana,5.6592,-53.7767,80.65,84,96,7.36,GF,1666265717
197,Hong Kong,22.2855,114.1577,79.18,75,81,5.99,HK,1666265647
198,Toritama,-8.0067,-36.0567,79.03,52,99,10.69,BR,1666265717
199,Turukhansk,65.8167,87.9833,34.38,98,100,18.81,RU,1666265717
200,St. George's,12.0564,-61.7485,81.82,76,5,9.69,GD,1666265701
201,Arrifes,37.7667,-25.7,64.65,68,20,9.22,PT,1666265718
202,Ikwiriri,-7.9562,38.9716,89.82,34,83,12.1,TZ,1666265718
203,Celestún,20.8667,-90.4,74.28,80,100,14.07,MX,1666265718
204,Saladoblanco,1.9924,-76.0434,63.54,97,100,1.61,CO,1666265718
205,Atbasar,51.8,68.3333,52.66,52,100,17.81,KZ,1666265719
206,General Roca,-39.0333,-67.5833,65.48,25,26,27.29,AR,1666265490
207,Saint-Philippe,-21.3585,55.7679,76.59,74,61,9.66,RE,1666265719
208,Dingle,10.9995,122.6711,78.76,86,100,0.22,PH,1666265719
209,Kuril'sk,45.2333,147.8833,49.51,76,74,16.15,RU,1666265719
210,Hearst,49.6835,-83.6665,30.45,98,100,7.09,CA,1666265720
211,Vitória da Conquista,-14.8661,-40.8394,72.59,54,83,6.73,BR,1666265720
212,Morondava,-20.2833,44.2833,82.08,71,1,18.68,MG,1666265720
213,Severo-Kuril'sk,50.6789,156.125,43.3,75,51,13.73,RU,1666265720
214,Ponta do Sol,32.6667,-17.1,79.72,80,95,8.63,PT,1666265720
215,Yagodnoye,62.55,149.6667,-10.25,91,13,4.81,RU,1666265720
216,Barra Patuca,15.8,-84.2833,75.97,89,97,2.21,HN,1666265720
217,Kizhinga,51.8462,109.9097,37.02,51,100,4.5,RU,1666265720
218,Buala,-8.145,159.5921,80.33,82,64,3.49,SB,1666265721
219,Poum,-20.2333,164.0167,76.17,74,46,18.86,NC,1666265721
220,Pop,40.8736,71.1089,61.29,43,0,2.37,UZ,1666265721
221,São José da Laje,-9.0097,-36.0583,78.66,57,56,10.65,BR,1666265721
222,Bathsheba,13.2167,-59.5167,81.21,83,40,10.36,BB,1666265721
223,Carman,49.4992,-98.0016,38.32,86,100,2.3,CA,1666265721
224,Saint George,37.1041,-113.5841,57.79,30,0,4.61,US,1666265722
225,Olinda,-8.0089,-34.8553,80.33,65,40,11.5,BR,1666265722
226,Saldanha,-33.0117,17.9442,71.65,65,18,20.2,ZA,1666265722
227,Holice,50.066,15.9859,55.94,59,0,9.22,CZ,1666265722
228,Gigmoto,13.7796,124.39,79.38,88,100,3.15,PH,1666265722
229,Nichinan,31.6,131.3667,65.88,73,8,7.4,JP,1666265722
230,Alice Springs,-23.7,133.8833,71.15,40,0,6.91,AU,1666265722
231,Maniitsoq,65.4167,-52.9,25.52,58,88,13.49,GL,1666265723
232,Nadym,65.5333,72.5167,35.24,95,100,14.2,RU,1666265607
233,Cherskiy,68.75,161.3,18.27,98,99,6.02,RU,1666265723
234,Muroto-misakicho,33.2833,134.15,66.99,52,0,5.68,JP,1666265723
235,Antofagasta,-23.65,-70.4,58.28,61,31,4.61,CL,1666265723
236,Dikson,73.5069,80.5464,32.41,98,100,21.7,RU,1666265618
237,San Cristobal,7.7669,-72.225,68.18,93,100,1.36,VE,1666265723
238,Portland,45.5234,-122.6762,57.61,86,0,3.44,US,1666265647
239,Luanda,-8.8368,13.2343,78.8,78,75,10.36,AO,1666265696
240,Nabire,-3.3667,135.4833,78.03,88,70,2.21,ID,1666265723
241,Malappuram,11.0667,76.0667,78.96,78,75,5.75,IN,1666265700
242,Vaitape,-16.5167,-151.75,78.55,71,9,10.69,PF,1666265723
243,Abhā,18.2164,42.5053,78.62,11,20,0.0,SA,1666265690
244,Natal,-5.795,-35.2094,83.05,61,40,16.11,BR,1666265469
245,Toledo,39.8333,-4.0,65.28,55,100,33.38,ES,1666265724
246,Tortolì,39.9256,9.6572,76.82,53,20,9.22,IT,1666265724
247,Inuvik,68.3499,-133.7218,25.81,93,100,5.75,CA,1666265724
248,Saurimo,-9.6608,20.3916,88.21,34,88,5.64,AO,1666265725
249,Northam,51.0333,-4.2167,60.62,89,99,11.14,GB,1666265725
250,Herat Province,34.5,62.0,71.96,17,0,10.2,AF,1666265725
251,Bangassou,4.7413,22.8184,79.93,71,98,2.77,CF,1666265725
252,Tougan,13.0667,-3.0667,94.62,22,1,2.21,BF,1666265725
253,Puerto Limón,10.0,-83.0333,74.05,83,100,4.94,CR,1666265726
254,Pokhara,28.2333,83.9833,63.77,71,11,4.03,NP,1666265608
255,Villazón,-22.0866,-65.5942,48.36,6,6,6.53,BO,1666265726
256,Atasū,48.6814,71.6433,52.54,43,95,21.39,KZ,1666265726
257,Grand Gaube,-20.0064,57.6608,77.38,56,16,8.99,MU,1666265726
258,Lixouri,38.2019,20.4314,71.6,64,20,6.91,GR,1666265726
259,Clyde River,70.4692,-68.5914,23.23,74,100,12.66,CA,1666265726
260,Chilliwack,49.1747,-121.9443,51.78,93,97,2.3,CA,1666265726
261,Tezu,27.9167,96.1667,71.35,78,0,3.71,IN,1666265726
262,Shimoda,34.6667,138.95,60.19,59,0,2.35,JP,1666265727
263,Yangi Marg`ilon,40.4272,71.7189,59.72,38,0,4.61,UZ,1666265727
264,Beloha,-25.1667,45.05,90.43,36,2,17.25,MG,1666265727
265,Shenjiamen,29.9576,122.298,66.9,65,45,11.43,CN,1666265727
266,Severodvinsk,64.5635,39.8302,39.31,60,71,18.75,RU,1666265727
267,Nelson Bay,-32.7167,152.15,66.25,96,100,13.0,AU,1666265727
268,Beisfjord,68.3751,17.5988,42.04,94,99,2.66,NO,1666265727
269,Namatanai,-3.6667,152.4333,81.21,77,68,7.52,PG,1666265727
270,Amahai,-3.3333,128.9167,81.48,81,96,3.36,ID,1666265728
271,Gur'yevsk,54.2833,85.9333,38.98,95,100,15.05,RU,1666265703
272,Matara,5.9485,80.5353,78.98,84,100,11.79,LK,1666265728
273,Boyolangu,-8.1181,111.8935,77.25,92,100,3.36,ID,1666265728
274,Whitehorse,60.7161,-135.0538,45.37,58,40,13.8,CA,1666265728
275,Mackenzie,55.2999,-123.1698,48.42,53,100,5.75,CA,1666265728
276,Tessalit,20.1986,1.0114,93.27,14,30,8.52,ML,1666265728
277,Baracoa,20.3467,-74.4958,78.35,83,72,2.08,CU,1666265728
278,Khandyga,62.6667,135.6,14.29,97,100,1.77,RU,1666265728
279,Mafra,-26.1114,-49.8053,61.77,97,100,3.27,BR,1666265728
280,Guerrero Negro,27.9769,-114.0611,69.75,82,8,2.66,MX,1666265728
281,Margate,51.3813,1.3862,62.91,95,83,5.01,GB,1666265729
282,Assiut,27.181,31.1837,82.58,29,1,13.13,EG,1666265718
283,Merrill,45.1805,-89.6835,38.97,52,100,6.91,US,1666265729
284,Guaraniaçu,-25.1008,-52.8781,59.41,97,100,6.71,BR,1666265729
285,Ağdam,39.991,46.9274,75.9,36,43,5.28,AZ,1666265729
286,Devrek,41.2192,31.9558,58.05,81,67,8.23,TR,1666265729
287,Keetmanshoop,-26.5833,18.1333,94.64,16,12,8.59,NA,1666265730
288,Jacqueville,5.2052,-4.4146,79.5,80,99,9.35,CI,1666265730
289,Auki,-8.7676,160.7034,78.28,87,51,4.68,SB,1666265730
290,Nanyamba,-10.6833,39.8333,91.13,31,38,13.58,TZ,1666265730
291,Kanigoro,-8.13,112.219,75.94,95,100,2.08,ID,1666265730
292,Sayyan,15.1718,44.3244,70.66,14,2,3.27,YE,1666265730
293,Kilrush,52.6397,-9.4833,60.55,83,92,14.97,IE,1666265730
294,Dolisie,-4.1997,12.6739,84.78,55,92,3.13,CG,1666265731
295,Östersund,63.1792,14.6357,43.61,75,75,8.05,SE,1666265701
296,Divnomorskoye,44.5011,38.1353,60.64,60,90,16.67,RU,1666265731
297,Oranjemund,-28.55,16.4333,65.59,69,53,24.72,NA,1666265731
298,San Felipe,10.3399,-68.7425,75.06,92,62,1.77,VE,1666265731
299,Srednekolymsk,67.45,153.6833,14.79,94,100,18.45,RU,1666265731
300,Ayr,55.4627,-4.6339,53.58,87,75,9.22,GB,1666265458
301,Chui,-33.6971,-53.4616,65.68,76,67,9.93,UY,1666265732
302,Lagoa,39.05,-27.9833,65.48,66,13,20.78,PT,1666265732
303,Manama,26.2154,50.5832,93.38,62,0,9.22,BH,1666265659
304,Buckeye,33.3703,-112.5838,75.83,47,0,0.0,US,1666265732
305,Sterling,39.0062,-77.4286,40.59,85,0,5.99,US,1666265733
306,Santa Cruz de la Sierra,-17.8,-63.1667,77.05,83,75,14.97,BO,1666265471
307,Katsuura,35.1333,140.3,61.25,58,0,2.06,JP,1666265733
308,Naze,28.3667,129.4833,74.32,63,31,22.41,JP,1666265733
309,Yaan,7.3833,8.5667,84.6,65,78,4.36,NG,1666265733
310,Qasigiannguit,68.8193,-51.1922,25.05,76,58,9.51,GL,1666265733
311,Labuhan,-6.8844,112.2051,82.99,73,89,2.44,ID,1666265733
312,Sechura,-5.5569,-80.8222,61.57,81,100,11.79,PE,1666265733
313,Whakatane,-37.9585,176.9854,55.78,78,63,9.35,NZ,1666265733
314,Filingué,14.3521,3.3168,96.22,13,18,4.0,NE,1666265733
315,Neuquén,-38.9516,-68.0591,57.09,41,0,5.75,AR,1666265447
316,Yarega,63.4354,53.5765,34.16,74,91,15.93,RU,1666265734
317,Tuatapere,-46.1333,167.6833,43.45,66,97,8.59,NZ,1666265734
318,La Ronge,55.1001,-105.2842,55.65,47,100,8.05,CA,1666265593
319,Bambous Virieux,-20.3428,57.7575,77.22,60,75,6.91,MU,1666265734
320,Comodoro Rivadavia,-45.8667,-67.5,57.06,47,40,16.11,AR,1666265724
321,Praia,14.9215,-23.5087,84.74,65,20,13.8,CV,1666265734
322,Otane,-39.8833,176.6333,59.02,65,8,9.98,NZ,1666265734
323,Port Macquarie,-31.4333,152.9167,66.88,87,100,13.58,AU,1666265734
324,Tulum,20.2167,-87.4667,70.47,95,81,7.36,MX,1666265500
325,Kaa-Khem,51.6833,94.7333,36.34,52,98,3.67,RU,1666265735
326,Port Hedland,-20.3167,118.5667,80.65,69,1,11.5,AU,1666265735
327,Forsytheganj,52.6333,29.7333,43.61,76,100,13.02,BY,1666265735
328,Jalu,29.0331,21.5482,79.23,34,60,6.42,LY,1666265735
329,Porto Belo,-27.1578,-48.5531,75.69,96,100,3.29,BR,1666265735
330,Korāput,18.8167,82.7167,69.85,85,69,4.76,IN,1666265735
331,Pervomayskoye,43.919,46.7102,70.27,45,95,5.39,RU,1666265736
332,Vestmannaeyjar,63.4427,-20.2734,43.79,87,40,17.27,IS,1666265736
333,Brae,60.3964,-1.353,48.58,69,97,17.74,GB,1666265680
334,Atar,20.5169,-13.0499,98.82,10,91,9.19,MR,1666265736
335,Florø,61.5996,5.0328,46.47,76,0,3.44,NO,1666265736
336,Nemuro,43.3236,145.575,52.74,69,17,20.13,JP,1666265737
337,Champerico,14.3,-91.9167,76.55,90,74,7.27,GT,1666265737
338,Atambua,-9.1061,124.8925,78.08,83,100,0.45,ID,1666265737
339,Mehamn,71.0357,27.8492,37.31,75,97,33.38,NO,1666265737
340,Mūl,20.0667,79.6667,77.59,85,8,6.15,IN,1666265738
341,Manokwari,-0.8667,134.0833,80.31,80,59,3.78,ID,1666265738
342,Arrondissement de Meaux,48.9167,3.0,70.03,77,59,13.31,FR,1666265584
343,Dawlatabad,36.4141,64.9053,68.09,27,0,14.52,AF,1666265738
344,Pacifica,37.6138,-122.4869,65.21,86,20,11.5,US,1666265738
345,Narsaq,60.9167,-46.05,32.22,61,23,7.67,GL,1666265738
346,Øksfjord,70.2396,22.3479,39.27,90,100,10.69,NO,1666265738
347,Yulara,-25.2406,130.9889,76.51,27,0,7.18,AU,1666265738
348,Constitución,-35.3333,-72.4167,56.66,76,0,4.85,CL,1666265739
349,Mount Isa,-20.7333,139.5,83.97,23,0,12.66,AU,1666265739
350,Bol,13.4586,14.7147,88.0,45,41,5.01,TD,1666265739
351,Tumbotino,55.9993,43.0236,44.64,59,8,7.92,RU,1666265739
352,São João da Ponte,-15.9292,-44.0078,80.37,41,40,9.73,BR,1666265739
353,Ambilobe,-13.2,49.05,91.29,25,0,0.94,MG,1666265739
354,Aksu,41.1231,80.2644,60.66,22,100,4.9,CN,1666265739
355,Panshi,42.9422,126.0561,47.14,81,22,6.44,CN,1666265740
356,Emerald,-23.5333,148.1667,69.35,88,66,13.47,AU,1666265740
357,Bandarbeyla,9.4942,50.8122,81.41,75,44,21.27,SO,1666265740
